x,a,b,c,d,index_value,true_index_value,label
2,74,164,137,5,284,4004.19,0
3,124,164,137,7,285,4004.12,0
4,131,164,137,10,284,4004.19,0
5,131,159,138,10,275,4004.88,0
6,130,156,131,10,273,4005.03,0
7,119,152,122,11,277,4004.73,0
8,123,153,114,13,285,4004.12,0
9,134,153,108,14,300,4002.97,0
10,150,152,101,16,308,4002.36,0
11,153,152,111,19,310,4002.21,0
12,153,147,115,20,297,4003.2,0
13,152,145,106,20,293,4003.51,0
14,149,140,91,21,289,4003.81,0
15,154,137,81,22,289,4003.81,0
16,154,131,97,22,286,4004.04,0
17,153,128,92,22,280,4004.5,0
18,150,120,79,21,270,4005.26,0
19,144,118,71,22,265,4005.65,0
20,138,119,75,21,252,4006.64,0
21,133,115,86,21,246,4007.1,0
22,130,112,82,21,231,4008.25,0
23,121,107,71,21,225,4008.71,0
24,117,104,65,21,229,4008.4,0
25,118,102,71,22,232,4008.17,0
26,121,100,65,23,234,4008.02,0
27,121,99,55,24,235,4007.94,0
28,133,106,49,26,251,4006.72,0
29,149,112,47,31,263,4005.8,0
30,153,120,69,35,277,4004.73,0
31,154,123,82,36,284,4004.19,0
32,159,122,76,38,288,4003.89,0
33,164,123,71,41,289,4003.81,0
34,170,122,82,44,297,4003.2,0
35,170,120,82,45,300,4002.97,0
36,172,118,73,47,310,4002.21,0
37,177,116,66,49,318,4001.59,0
38,178,114,63,50,328,4000.83,0
39,179,111,68,51,334,4000.37,0
40,184,108,64,53,333,4000.45,0
41,186,107,56,55,340,3999.91,0
42,191,112,54,57,345,3999.53,0
43,194,113,65,61,352,3998.99,0
44,196,116,72,62,354,3998.84,0
45,200,116,65,64,356,3998.69,0
46,211,122,63,67,370,3997.62,0
47,214,123,63,72,371,3997.54,0
48,219,127,79,75,386,3996.39,0
49,223,127,83,78,387,3996.32,0
50,223,124,79,79,388,3996.24,0
51,223,117,75,78,374,3997.31,0
52,221,112,76,78,373,3997.39,0
53,214,104,66,78,359,3998.46,0
54,214,101,59,79,362,3998.23,0
55,214,98,54,80,362,3998.23,0
56,214,98,47,81,371,3997.54,0
57,217,98,55,82,371,3997.54,0
58,217,98,57,82,369,3997.69,0
59,216,96,53,83,365,3998.0,0
60,212,95,55,84,362,3998.23,0
61,212,92,59,84,360,3998.38,0
62,211,89,58,84,360,3998.38,0
63,211,86,52,85,356,3998.69,0
64,211,84,45,86,355,3998.76,0
65,213,84,41,87,354,3998.84,0
66,213,81,49,86,343,3999.68,0
67,212,79,47,86,338,4000.06,0
68,208,75,40,86,322,4001.29,0
69,206,73,36,86,320,4001.44,0
70,206,70,39,86,320,4001.44,0
71,205,71,36,87,326,4000.98,0
72,205,71,31,83,324,4001.14,0
73,205,68,33,81,313,4001.98,0
74,204,67,33,79,309,4002.28,0
75,189,60,35,77,299,4003.05,0
76,182,58,33,74,296,4003.28,0
77,178,53,25,70,283,4004.27,0
78,175,48,21,68,277,4004.73,0
79,170,45,21,66,264,4005.72,0
80,159,41,17,65,261,4005.95,0
81,154,40,15,65,255,4006.41,0
82,152,41,12,65,265,4005.65,0
83,152,43,9,66,270,4005.26,0
84,152,46,16,67,282,4004.35,0
85,152,47,18,66,285,4004.12,0
86,151,47,15,66,285,4004.12,0
87,154,52,13,67,295,4003.35,0
88,154,54,15,70,298,4003.12,0
89,155,60,23,71,309,4002.28,0
90,156,62,25,73,309,4002.28,0
91,165,68,25,75,317,4001.67,0
92,176,77,28,80,325,4001.06,0
93,182,86,38,88,340,3999.91,0
94,189,96,54,94,350,3999.15,0
95,194,101,64,99,358,3998.54,0
96,195,104,68,102,358,3998.54,0
97,200,106,68,104,364,3998.08,0
98,204,107,74,108,369,3997.69,0
99,204,108,75,110,376,3997.16,0
100,206,108,74,112,380,3996.85,0
101,206,108,74,112,381,3996.78,0
102,205,107,75,112,382,3996.7,0
103,204,105,74,111,383,3996.62,0
104,203,104,71,111,387,3996.32,0
105,201,102,68,112,388,3996.24,0
106,201,101,70,112,389,3996.16,0
107,203,101,71,114,389,3996.16,0
108,204,101,69,116,393,3995.86,0
109,205,101,69,116,395,3995.71,0
110,208,103,67,118,397,3995.55,0
111,209,105,71,121,401,3995.25,0
112,212,108,73,123,407,3994.79,0
113,214,112,74,126,412,3994.41,0
114,219,117,77,128,421,3993.72,0
115,223,123,82,133,428,3993.18,0
116,224,128,92,136,435,3992.65,0
117,225,132,99,138,442,3992.11,0
118,228,133,101,140,446,3991.81,0
119,228,134,103,141,446,3991.81,0
120,227,132,108,142,439,3992.34,0
121,227,129,107,143,430,3993.03,0
122,227,125,102,142,421,3993.72,0
123,226,121,97,141,416,3994.1,0
124,224,117,92,141,409,3994.64,0
125,222,115,92,141,408,3994.71,0
126,221,113,88,142,409,3994.64,0
127,221,113,87,143,411,3994.48,0
128,221,113,87,143,414,3994.25,0
129,220,113,89,144,415,3994.18,0
130,220,114,88,144,416,3994.1,0
131,222,116,88,146,417,3994.02,0
132,224,119,88,148,425,3993.41,0
133,224,121,90,149,426,3993.34,0
134,225,124,95,151,432,3992.88,0
135,228,125,97,153,436,3992.57,0
136,229,128,99,156,441,3992.19,0
137,230,130,100,158,447,3991.73,0
138,231,132,106,160,451,3991.42,0
139,232,131,109,161,449,3991.58,0
140,232,131,109,162,448,3991.65,0
141,233,130,106,164,445,3991.88,0
142,233,128,106,163,439,3992.34,0
143,232,127,108,163,438,3992.42,0
144,230,124,106,163,435,3992.65,0
145,229,122,103,163,432,3992.88,0
146,229,122,100,164,436,3992.57,0
147,230,123,101,166,438,3992.42,0
148,232,126,104,168,448,3991.65,0
149,233,128,105,170,451,3991.42,0
