x,a,b,c,d,index_value,true_index_value,label
1,7,209,219,232,407,3599.98,0
2,224,209,219,234,407,3599.98,0
3,223,209,219,234,419,3597.41,0
4,220,210,219,235,430,3595.05,0
5,230,210,219,237,435,3593.98,0
6,230,203,219,237,432,3594.62,0
7,229,196,220,236,424,3596.34,0
8,216,178,211,236,397,3602.13,0
9,196,172,205,235,389,3603.84,0
10,177,156,195,233,363,3609.41,0
11,176,150,198,232,352,3611.77,0
12,153,144,195,231,345,3613.27,0
13,141,143,192,230,343,3613.7,0
14,113,138,192,228,339,3614.56,0
15,101,136,188,224,335,3615.42,0
16,69,139,190,223,337,3614.99,0
17,64,148,191,223,342,3613.92,0
18,67,151,193,223,347,3612.84,0
19,67,148,194,222,334,3615.63,0
20,66,147,191,221,333,3615.85,0
21,61,144,193,221,331,3616.27,3
22,61,148,192,221,342,3613.92,0
23,61,149,192,221,348,3612.63,0
24,67,155,188,221,351,3611.99,0
25,70,156,194,221,354,3611.34,0
26,70,162,199,221,356,3610.92,0
27,69,162,197,221,357,3610.7,0
28,70,163,197,221,357,3610.7,0
29,71,163,196,222,358,3610.49,0
30,78,168,196,224,361,3609.84,0
31,88,177,199,226,378,3606.2,0
32,94,187,203,229,390,3603.63,0
33,106,201,208,229,413,3598.7,0
34,115,213,219,229,431,3594.84,0
35,121,226,229,229,458,3589.05,0
36,121,232,237,229,466,3587.34,4
37,121,224,237,229,457,3589.27,1
38,119,215,238,230,447,3591.41,0
39,115,206,232,230,429,3595.27,0
40,115,197,226,230,419,3597.41,0
41,114,192,223,229,412,3598.91,0
42,109,180,217,228,394,3602.77,0
43,107,175,216,227,384,3604.91,0
44,105,166,211,227,374,3607.06,0
45,104,162,207,227,370,3607.91,0
46,104,164,204,228,375,3606.84,0
47,108,167,204,228,379,3605.99,0
48,108,172,208,228,385,3604.7,0
49,109,172,210,228,385,3604.7,0
50,109,169,207,229,383,3605.13,0
51,109,172,206,229,393,3602.98,0
52,112,176,208,230,395,3602.56,0
53,113,180,211,230,406,3600.2,0
54,115,183,212,230,410,3599.34,0
55,116,183,210,230,404,3600.63,0
56,116,181,210,230,404,3600.63,0
57,115,174,210,229,399,3601.7,0
58,112,173,208,227,398,3601.91,0
59,110,164,203,227,392,3603.2,0
60,106,159,202,225,382,3605.34,0
61,104,150,199,223,364,3609.2,0
62,97,142,194,222,349,3612.42,0
63,96,138,190,221,341,3614.13,0
64,95,134,186,220,335,3615.42,2
65,93,134,186,218,337,3614.99,0
66,90,137,186,218,343,3613.7,0
67,90,140,188,220,350,3612.2,0
68,93,145,188,220,363,3609.41,0
69,94,146,188,220,365,3608.99,0
70,94,143,192,220,360,3610.06,0
71,93,143,191,220,359,3610.27,0
72,95,144,187,221,362,3609.63,0
73,96,147,188,223,372,3607.49,0
74,101,151,189,223,375,3606.84,0
75,101,151,193,223,370,3607.91,0
76,101,150,194,223,369,3608.13,0
77,100,147,191,222,366,3608.77,0
78,99,145,189,221,364,3609.2,0
79,98,145,189,221,363,3609.41,0
80,97,148,189,223,369,3608.13,0
81,101,155,189,225,378,3606.2,0
82,102,160,192,227,389,3603.84,0
83,109,169,196,228,401,3601.27,0
84,112,171,203,228,407,3599.98,0
85,112,171,205,228,408,3599.77,0
86,112,169,205,228,402,3601.06,0
87,112,166,200,228,398,3601.91,0
88,112,164,199,228,397,3602.13,0
89,111,160,199,226,391,3603.41,0
90,108,154,195,226,380,3605.77,0
91,108,151,190,227,380,3605.77,0
92,109,152,190,227,380,3605.77,0
93,111,153,192,227,385,3604.7,0
94,111,152,192,229,385,3604.7,0
95,114,154,190,228,386,3604.48,0
96,119,159,190,228,389,3603.84,0
97,119,161,194,228,391,3603.41,0
98,119,162,197,228,393,3602.98,0
99,118,164,196,228,395,3602.56,0
100,118,165,196,228,400,3601.48,0
101,121,167,197,228,400,3601.48,0
102,121,165,199,228,395,3602.56,0
103,121,158,198,228,382,3605.34,0
104,119,152,192,228,370,3607.91,0
105,112,141,185,226,355,3611.13,0
106,109,136,182,223,342,3613.92,0
107,105,132,180,224,339,3614.56,0
108,106,137,178,224,346,3613.06,0
109,106,143,181,228,357,3610.7,0
110,115,154,185,229,378,3606.2,0
111,115,157,191,229,384,3604.91,0
112,115,161,196,230,392,3603.2,0
113,116,160,195,230,392,3603.2,0
114,118,161,191,230,400,3601.48,0
115,118,162,191,230,400,3601.48,0
116,119,163,193,231,404,3600.63,0
117,120,163,192,231,403,3600.84,0
118,120,159,192,231,399,3601.7,0
119,121,158,188,231,395,3602.56,0
120,121,153,187,232,385,3604.7,0
121,120,152,185,232,385,3604.7,0
122,120,153,182,232,386,3604.48,0
123,123,157,184,232,394,3602.77,0
124,125,158,185,233,396,3602.34,1
125,125,158,190,233,395,3602.56,0
126,125,154,190,232,388,3604.06,0
127,125,149,184,231,377,3606.41,0
128,124,142,179,231,363,3609.41,0
129,122,136,179,230,349,3612.42,0
130,119,132,175,230,342,3613.92,0
131,116,127,170,229,336,3615.2,0
132,115,128,168,228,341,3614.13,0
