x,a,b,c,d,index_value,true_index_value,label
1,108,20,12,5,4,4220.31,0
2,135,20,12,5,8,4219.81,0
3,149,22,12,5,16,4218.81,0
4,220,28,12,5,33,4216.69,0
5,238,32,13,7,44,4215.32,0
6,240,36,20,11,55,4213.95,0
7,240,38,22,12,58,4213.58,0
8,239,35,17,13,52,4214.32,0
9,241,34,12,14,51,4214.45,0
10,241,35,20,14,42,4215.57,0
11,240,34,22,14,34,4216.57,0
12,230,37,17,14,31,4216.94,0
13,212,38,14,14,31,4216.94,0
14,211,40,14,15,36,4216.32,0
15,205,40,23,15,34,4216.57,0
16,203,40,24,15,28,4217.32,0
17,195,38,17,15,23,4217.94,0
18,193,41,12,15,25,4217.69,0
19,191,44,12,15,32,4216.82,0
20,195,47,24,16,37,4216.2,0
21,205,50,28,17,38,4216.07,0
22,214,55,26,19,44,4215.32,0
23,214,57,27,20,47,4214.95,0
24,220,66,37,21,60,4213.33,0
25,223,68,42,22,64,4212.83,0
26,231,77,46,23,76,4211.33,0
27,231,82,47,25,85,4210.21,0
28,231,86,55,26,89,4209.71,0
29,230,86,63,26,90,4209.59,0
30,235,84,62,27,93,4209.21,0
31,235,82,58,28,96,4208.84,0
32,234,78,56,29,94,4209.09,0
33,231,74,59,29,87,4209.96,0
34,228,70,54,29,80,4210.83,0
35,228,64,45,30,71,4211.96,0
36,233,63,39,30,68,4212.33,0
37,239,63,37,31,70,4212.08,0
38,239,64,41,33,70,4212.08,0
39,239,62,44,34,70,4212.08,0
40,239,60,38,34,67,4212.45,0
41,241,61,34,35,68,4212.33,0
42,241,62,40,35,73,4211.71,0
43,240,63,43,36,74,4211.58,0
44,236,63,41,35,75,4211.46,0
45,234,63,38,35,76,4211.33,0
46,231,62,38,34,75,4211.46,0
47,228,60,41,34,75,4211.46,0
48,220,59,39,34,76,4211.33,0
49,216,58,37,34,77,4211.21,0
50,215,56,35,34,73,4211.71,0
51,214,53,35,34,67,4212.45,0
52,213,49,30,33,61,4213.2,0
53,209,45,25,32,52,4214.32,0
54,204,45,19,31,56,4213.83,0
55,192,47,18,31,58,4213.58,0
56,191,52,26,31,71,4211.96,0
57,191,54,32,31,73,4211.71,0
58,190,56,32,31,73,4211.71,0
59,190,56,31,31,71,4211.96,0
60,190,54,37,31,66,4212.58,0
61,188,52,35,31,62,4213.08,0
62,184,50,31,30,59,4213.45,0
63,182,37,24,29,60,4213.33,0
64,178,37,15,29,63,4212.95,0
65,173,30,21,29,64,4212.83,0
66,172,37,23,28,67,4212.45,0
67,170,38,23,28,71,4211.96,0
68,166,42,26,28,74,4211.58,0
69,172,49,30,28,86,4210.08,0
70,177,52,34,30,88,4209.84,0
71,177,53,42,31,99,4208.46,0
72,176,48,43,31,90,4209.59,0
73,173,46,40,31,86,4210.08,0
74,171,42,39,31,77,4211.21,0
75,170,42,35,31,82,4210.58,0
76,171,42,33,31,84,4210.33,0
77,172,43,33,32,90,4209.59,0
78,177,47,33,32,99,4208.46,0
79,178,48,37,34,102,4208.09,0
80,179,49,41,35,101,4208.21,0
81,179,45,39,35,95,4208.96,0
82,178,43,36,35,86,4210.08,0
83,177,39,35,35,81,4210.71,0
84,178,38,31,35,76,4211.33,0
85,178,37,27,35,77,4211.21,0
86,179,36,26,36,76,4211.33,0
87,179,33,28,36,69,4212.2,0
88,178,31,26,35,64,4212.83,0
89,176,29,22,35,57,4213.7,0
90,173,29,19,35,59,4213.45,0
91,173,28,18,35,57,4213.7,0
92,172,27,19,35,52,4214.32,0
93,170,25,17,34,49,4214.7,0
94,168,23,14,33,44,4215.32,0
95,166,22,11,33,44,4215.32,0
96,163,21,10,33,45,4215.2,0
97,161,23,12,33,49,4214.7,0
98,160,25,12,33,51,4214.45,0
99,160,29,13,33,59,4213.45,0
100,161,32,13,33,64,4212.83,0
101,166,38,20,33,74,4211.58,0
102,166,48,25,35,78,4211.08,0
103,166,51,32,35,84,4210.33,0
104,167,59,34,35,84,4210.33,0
105,170,61,35,36,86,4210.08,0
106,170,64,38,36,90,4209.59,0
107,169,65,40,36,92,4209.34,0
108,167,63,41,36,94,4209.09,0
109,166,60,38,36,93,4209.21,0
110,166,57,38,37,89,4209.71,0
111,165,55,35,37,85,4210.21,0
112,165,52,32,37,80,4210.83,0
113,165,51,29,36,78,4211.08,0
114,164,50,27,36,78,4211.08,0
115,163,49,28,36,77,4211.21,0
116,163,49,27,36,75,4211.46,0
117,163,48,26,36,77,4211.21,0
118,162,50,25,36,82,4210.58,0
119,162,52,28,36,84,4210.33,0
120,163,53,31,36,87,4209.96,0
121,163,53,30,37,88,4209.84,0
122,163,53,29,37,90,4209.59,0
123,163,53,29,37,89,4209.71,0
124,162,53,31,37,89,4209.71,0
125,160,53,31,37,87,4209.96,0
126,159,56,31,36,91,4209.46,0
127,159,57,32,36,93,4209.21,0
128,161,58,36,36,97,4208.71,0
129,162,59,37,37,98,4208.59,0
130,162,60,38,38,98,4208.59,0
131,162,60,38,38,97,4208.71,0
132,162,60,38,38,94,4209.09,0
133,162,59,40,38,92,4209.34,0
134,162,60,40,38,93,4209.21,0
135,161,60,40,38,93,4209.21,0
136,161,60,41,38,95,4208.96,0
137,163,63,42,39,98,4208.59,0
