x,a,b,c,d,index_value,true_index_value,label
2,133,130,115,18,192,3778.82,0
3,132,130,115,18,196,3778.15,0
4,125,130,115,18,201,3777.31,0
5,124,130,118,18,210,3775.81,0
6,124,125,114,19,214,3775.14,0
7,124,121,115,19,213,3775.31,0
8,123,114,103,19,211,3775.64,0
9,107,105,87,19,209,3775.98,0
10,104,98,74,19,211,3775.64,0
11,104,94,77,20,212,3775.47,0
12,103,93,76,20,212,3775.47,0
13,103,91,71,20,211,3775.64,0
14,103,88,68,20,210,3775.81,0
15,109,86,61,21,215,3774.97,0
16,109,84,68,20,216,3774.81,0
17,108,80,67,19,217,3774.64,0
18,106,73,55,19,215,3774.97,0
19,91,71,49,20,215,3774.97,0
20,97,71,45,22,215,3774.97,0
21,102,71,56,22,221,3773.97,0
22,102,71,54,22,222,3773.8,0
23,101,72,54,22,226,3773.14,0
24,102,70,51,23,227,3772.97,0
25,102,69,54,23,228,3772.8,0
26,104,67,50,22,227,3772.97,0
27,104,63,47,19,225,3773.3,0
28,103,56,42,18,216,3774.81,0
29,84,49,42,17,210,3775.81,0
30,69,39,34,17,201,3777.31,0
31,60,36,26,16,197,3777.98,0
32,55,33,18,16,192,3778.82,0
33,51,33,18,16,189,3779.32,0
34,41,31,22,16,186,3779.82,0
35,36,31,23,15,182,3780.49,0
36,34,29,18,15,177,3781.32,0
37,33,29,13,15,176,3781.49,0
38,51,40,13,16,180,3780.82,0
39,60,46,24,17,186,3779.82,0
40,64,59,41,18,190,3779.15,0
41,74,61,48,18,189,3779.32,0
42,74,55,48,17,184,3780.15,0
43,73,44,51,16,172,3782.16,0
44,61,36,43,15,165,3783.33,0
45,33,25,33,14,157,3784.67,0
46,31,22,24,13,155,3785.0,0
47,29,22,19,13,154,3785.17,0
48,27,25,27,13,155,3785.0,0
49,27,26,30,13,156,3784.83,0
50,26,26,28,12,153,3785.33,0
51,24,24,24,12,150,3785.84,0
52,22,22,28,11,147,3786.34,0
53,21,21,28,11,145,3786.67,0
54,21,19,23,11,141,3787.34,0
55,21,16,17,10,136,3788.18,0
56,20,14,13,9,132,3788.84,0
57,19,13,16,9,128,3789.51,0
58,16,19,16,9,130,3789.18,0
59,16,21,15,9,131,3789.01,0
60,15,24,19,8,129,3789.35,0
61,13,23,24,8,125,3790.01,0
62,11,24,23,7,124,3790.18,0
63,7,24,22,6,124,3790.18,0
64,7,28,20,7,131,3789.01,0
65,9,29,16,7,132,3788.84,0
66,11,34,24,9,139,3787.67,0
67,22,39,26,11,141,3787.34,0
68,27,42,26,15,144,3786.84,0
69,42,52,29,15,149,3786.0,0
70,51,54,37,15,153,3785.33,0
71,52,59,47,15,156,3784.83,0
72,52,58,49,15,157,3784.67,0
73,52,55,44,15,156,3784.83,0
74,56,54,41,15,154,3785.17,0
75,57,55,41,15,152,3785.5,0
76,57,54,44,15,153,3785.33,0
77,56,53,44,15,151,3785.67,0
78,54,49,41,15,150,3785.84,0
79,53,47,39,15,151,3785.67,0
80,56,46,36,15,153,3785.33,0
81,56,45,32,15,154,3785.17,0
82,56,42,29,15,151,3785.67,0
83,56,40,24,15,150,3785.84,0
84,55,37,26,15,146,3786.5,0
85,55,35,26,15,145,3786.67,0
86,54,32,20,15,145,3786.67,0
87,52,34,15,15,150,3785.84,0
88,52,40,23,15,156,3784.83,0
89,56,45,30,15,162,3783.83,0
90,56,50,36,15,167,3782.99,0
91,56,46,39,15,160,3784.16,0
92,54,43,35,15,155,3785.0,0
93,50,38,32,15,145,3786.67,0
94,47,39,29,15,142,3787.17,0
95,49,39,28,15,144,3786.84,0
96,49,40,28,15,147,3786.34,0
97,51,42,29,15,150,3785.84,0
98,53,43,32,15,150,3785.84,0
99,53,43,32,15,150,3785.84,0
100,52,42,27,15,148,3786.17,0
101,51,42,24,15,146,3786.5,0
102,50,41,28,16,145,3786.67,0
103,46,38,27,16,141,3787.34,0
104,44,35,23,15,137,3788.01,0
105,42,33,18,12,132,3788.84,0
106,35,33,18,11,129,3789.35,0
107,32,37,24,11,135,3788.34,0
108,33,39,26,11,137,3788.01,0
109,33,42,28,11,143,3787.01,0
110,33,42,28,11,141,3787.34,0
111,32,42,30,11,141,3787.34,0
112,32,41,29,11,138,3787.84,0
113,33,41,26,11,140,3787.51,0
114,33,42,24,11,141,3787.34,0
115,33,43,24,11,141,3787.34,0
116,33,43,26,11,140,3787.51,0
117,33,41,25,11,138,3787.84,0
118,32,40,25,11,137,3788.01,0
119,33,46,22,13,143,3787.01,0
120,40,51,26,14,151,3785.67,0
121,41,57,36,14,156,3784.83,0
122,42,61,43,14,161,3784.0,0
123,42,60,44,14,157,3784.67,0
124,41,59,44,14,156,3784.83,0
125,41,56,45,14,153,3785.33,0
126,41,56,40,14,156,3784.83,0
127,42,59,40,16,158,3784.5,0
128,47,62,41,16,162,3783.83,0
129,49,66,46,17,165,3783.33,0
130,55,71,50,18,170,3782.49,0
131,63,78,54,20,174,3781.83,0
132,69,84,60,22,177,3781.32,0
133,70,88,67,24,178,3781.16,0
134,75,89,74,25,178,3781.16,0
135,76,88,74,27,179,3780.99,0
136,78,89,74,27,180,3780.82,0
137,81,91,73,29,184,3780.15,0
138,81,92,77,30,185,3779.99,0
139,82,90,79,29,184,3780.15,0
140,82,89,77,28,181,3780.66,0
141,81,82,72,27,173,3781.99,0
142,78,80,71,25,172,3782.16,0
143,75,74,68,25,165,3783.33,0
144,72,73,65,25,167,3782.99,0
145,70,73,64,24,168,3782.83,0
146,70,72,64,23,166,3783.16,0
