x,a,b,c,d,index_value,true_index_value,label
2,76,90,56,8,135,3948.72,0
3,75,65,56,8,122,3951.1,0
4,64,57,56,8,117,3952.01,0
5,57,48,53,8,105,3954.2,0
6,54,47,53,8,102,3954.75,0
7,36,41,50,8,97,3955.67,0
8,35,39,43,8,89,3957.13,0
9,19,34,35,8,86,3957.68,0
10,17,32,34,8,84,3958.04,0
11,16,31,31,8,84,3958.04,0
12,13,31,34,8,77,3959.32,0
13,12,31,31,7,76,3959.5,0
14,9,32,29,7,79,3958.96,0
15,12,35,26,7,80,3958.77,0
16,15,38,34,7,85,3957.86,0
17,15,39,39,7,83,3958.23,0
18,15,39,34,7,82,3958.41,0
19,14,38,33,7,75,3959.69,0
20,9,37,33,7,74,3959.87,0
21,12,40,35,8,80,3958.77,0
22,23,44,36,8,86,3957.68,0
23,26,49,38,8,96,3955.85,0
24,33,53,40,8,101,3954.94,0
25,35,52,47,8,102,3954.75,0
26,41,51,45,8,100,3955.12,0
27,48,48,40,8,98,3955.48,0
28,48,45,39,8,95,3956.03,0
29,47,40,39,8,87,3957.49,0
30,36,37,38,8,84,3958.04,0
31,35,33,32,8,81,3958.59,0
32,35,33,29,8,82,3958.41,0
33,35,31,28,8,81,3958.59,0
34,34,29,29,8,78,3959.14,0
35,33,26,27,8,72,3960.24,0
36,36,27,22,8,73,3960.05,0
37,37,27,19,8,74,3959.87,0
38,41,33,21,8,82,3958.41,0
39,51,37,27,9,88,3957.31,0
40,54,41,32,9,93,3956.4,0
41,54,44,35,9,97,3955.67,0
42,57,44,35,9,97,3955.67,0
43,58,44,38,10,97,3955.67,0
44,63,45,38,10,99,3955.3,0
45,67,46,37,11,102,3954.75,0
46,68,47,37,12,105,3954.2,0
47,69,45,37,11,102,3954.75,0
48,69,42,38,11,100,3955.12,0
49,67,39,34,11,96,3955.85,0
50,65,36,29,11,91,3956.76,0
51,64,35,26,11,90,3956.95,0
52,64,35,29,11,87,3957.49,0
53,64,34,30,11,84,3958.04,0
54,63,32,27,10,81,3958.59,0
55,63,29,25,10,73,3960.05,0
56,62,27,23,10,68,3960.97,0
57,59,25,23,10,63,3961.88,0
58,56,25,22,9,61,3962.25,0
59,56,22,22,9,56,3963.16,0
60,55,21,19,9,52,3963.89,0
61,52,20,19,9,47,3964.8,0
62,48,22,22,9,50,3964.26,0
63,47,25,22,9,53,3963.71,0
64,49,27,24,8,57,3962.98,0
65,49,26,24,8,52,3963.89,0
66,48,24,25,8,48,3964.62,0
67,44,22,23,8,44,3965.35,0
68,41,21,20,8,41,3965.9,0
69,41,19,20,8,37,3966.63,0
70,40,18,21,8,36,3966.82,0
71,37,14,19,7,30,3967.91,0
72,35,12,17,7,27,3968.46,0
73,33,7,12,7,19,3969.92,0
74,30,4,9,5,12,3971.2,0
75,28,1,9,4,5,3972.48,1
76,22,4,8,4,7,3972.12,1
77,23,5,8,5,9,3971.75,1
78,24,12,11,5,23,3969.19,1
79,24,14,14,5,24,3969.01,1
80,24,17,17,5,31,3967.73,1
81,26,19,16,5,33,3967.36,1
82,28,20,15,5,36,3966.82,1
83,28,21,15,5,36,3966.82,1
84,29,21,17,6,36,3966.82,1
85,29,23,16,6,37,3966.63,1
86,29,24,18,7,40,3966.08,1
87,32,29,18,7,48,3964.62,1
88,36,32,21,7,51,3964.07,1
89,41,42,27,7,62,3962.06,1
90,44,45,31,7,64,3961.7,1
91,46,52,38,7,64,3961.7,1
92,47,53,43,8,59,3962.61,1
93,49,54,47,8,59,3962.61,1
94,49,55,47,8,63,3961.88,1
95,48,57,49,8,66,3961.33,1
96,49,57,49,8,67,3961.15,1
97,50,56,50,9,67,3961.15,1
98,50,55,49,9,67,3961.15,1
99,51,55,47,9,70,3960.6,1
100,52,55,45,9,72,3960.24,1
101,54,56,45,10,73,3960.05,1
102,55,57,48,10,76,3959.5,1
103,58,59,47,11,79,3958.96,1
104,58,60,47,12,83,3958.23,1
105,58,59,48,12,83,3958.23,1
106,58,59,49,12,83,3958.23,1
107,60,58,47,12,84,3958.04,1
108,60,59,46,12,85,3957.86,1
109,63,61,45,12,90,3956.95,1
110,65,62,45,13,90,3956.95,1
111,65,61,49,14,91,3956.76,1
112,65,59,48,13,88,3957.31,1
113,64,57,45,13,85,3957.86,1
114,64,54,42,13,81,3958.59,1
115,63,52,40,13,76,3959.5,1
116,62,50,40,13,74,3959.87,1
117,63,50,37,13,78,3959.14,1
118,66,53,36,13,81,3958.59,1
119,68,54,38,14,85,3957.86,1
120,69,56,44,15,89,3957.13,1
121,70,57,44,16,92,3956.58,1
122,71,57,44,16,95,3956.03,1
123,75,60,44,17,99,3955.3,1
124,77,63,44,18,101,3954.94,1
125,80,66,49,19,104,3954.39,1
126,81,68,53,19,106,3954.02,1
127,84,70,55,20,107,3953.84,1
128,86,71,55,21,109,3953.47,1
129,88,73,58,22,113,3952.74,1
130,91,75,59,23,117,3952.01,1
131,94,76,60,24,123,3950.91,1
132,95,78,61,25,125,3950.55,1
133,99,81,63,26,130,3949.64,1
134,101,82,66,27,132,3949.27,1
135,101,83,69,28,137,3948.36,1
136,103,83,69,28,142,3947.44,1
137,105,83,69,29,143,3947.26,1
138,107,83,71,30,146,3946.71,1
139,109,83,70,31,147,3946.53,1
140,110,83,69,31,149,3946.16,1
141,111,83,69,32,150,3945.98,1
142,112,83,68,32,148,3946.35,1
143,112,81,68,32,142,3947.44,1
144,112,78,67,32,139,3947.99,1
145,111,77,63,32,134,3948.9,1
146,111,74,61,32,133,3949.09,1
147,110,74,61,32,133,3949.09,1
148,110,74,59,32,137,3948.36,1
149,110,73,59,33,137,3948.36,1
150,111,74,58,33,140,3947.81,1
151,117,78,57,34,147,3946.53,1
152,121,82,62,36,156,3944.88,1
153,121,85,69,37,162,3943.79,1
154,122,86,71,38,161,3943.97,1
155,124,85,71,38,162,3943.79,1
156,124,85,71,39,163,3943.6,1
157,126,86,71,39,167,3942.87,1
158,128,87,71,40,172,3941.96,1
159,131,90,72,42,177,3941.05,1
160,131,91,74,43,181,3940.31,1
161,131,90,76,42,181,3940.31,1
162,131,86,74,42,176,3941.23,1
163,131,83,69,42,173,3941.78,1
164,130,81,65,42,170,3942.32,1
165,129,78,64,41,170,3942.32,1
166,129,76,63,41,167,3942.87,1
167,127,74,59,41,166,3943.06,1
168,127,75,59,42,168,3942.69,1
169,128,75,59,42,172,3941.96,1
170,128,75,61,42,173,3941.78,1
171,128,73,60,42,172,3941.96,1
172,128,72,58,42,173,3941.78,1
173,128,72,56,42,174,3941.59,1
174,128,71,58,42,173,3941.78,1
175,128,69,57,42,169,3942.51,1
176,127,67,53,42,166,3943.06,1
177,126,65,50,42,162,3943.79,1
178,126,63,49,42,157,3944.7,1
179,125,62,48,42,156,3944.88,1
180,126,62,47,42,154,3945.25,1
181,126,62,47,42,150,3945.98,1
182,126,61,46,42,149,3946.16,1
183,125,60,46,42,148,3946.35,1
184,125,59,46,42,143,3947.26,1
185,125,59,45,42,142,3947.44,1
186,124,58,42,42,140,3947.81,1
187,123,59,42,42,145,3946.89,1
188,124,60,42,42,145,3946.89,1
189,124,62,45,42,155,3945.07,1
190,125,63,46,43,155,3945.07,1
191,125,63,46,43,155,3945.07,1
192,125,62,46,43,152,3945.61,1
193,125,60,45,43,149,3946.16,1
194,125,59,43,43,148,3946.35,1
195,125,58,40,43,146,3946.71,1
196,125,57,40,43,148,3946.35,1
197,125,57,40,44,149,3946.16,1
198,125,57,40,44,146,3946.71,1
199,125,56,39,43,145,3946.89,1
200,125,54,37,43,141,3947.63,1
201,124,53,37,42,138,3948.17,1
202,123,51,36,42,134,3948.9,1
203,122,50,34,42,129,3949.82,1
204,122,51,33,42,135,3948.72,1
205,122,52,33,43,135,3948.72,1
206,122,54,37,43,141,3947.63,1
207,122,54,38,43,139,3947.99,1
208,122,53,36,43,136,3948.54,1
209,122,52,35,43,135,3948.72,1
210,121,53,35,43,138,3948.17,1
211,121,54,36,43,141,3947.63,1
212,121,54,37,43,144,3947.08,1
213,121,54,37,43,146,3946.71,1
214,121,55,37,43,147,3946.53,1
215,122,56,38,43,148,3946.35,1
216,122,56,38,44,150,3945.98,1
217,123,56,39,44,150,3945.98,1
218,123,55,39,43,144,3947.08,1
219,123,54,38,43,142,3947.44,1
220,121,53,37,43,139,3947.99,1
221,120,52,37,43,138,3948.17,1
222,120,51,36,43,137,3948.36,1
223,120,51,35,43,136,3948.54,1
224,121,52,35,44,140,3947.81,1
225,121,53,35,44,141,3947.63,1
226,121,54,37,44,140,3947.81,1
227,122,53,36,44,138,3948.17,1
228,122,52,36,44,136,3948.54,1
229,122,52,36,44,139,3947.99,1
230,122,54,36,45,141,3947.63,1
231,122,55,38,45,146,3946.71,1
232,123,55,38,45,145,3946.89,1
233,123,54,40,45,140,3947.81,1
234,123,52,39,45,138,3948.17,1
235,122,51,37,45,131,3949.45,1
236,122,49,35,45,128,3950.0,1
237,122,48,33,44,125,3950.55,1
238,121,47,32,44,122,3951.1,1
239,121,46,31,44,122,3951.1,1
240,120,47,30,44,128,3950.0,1
241,121,48,31,45,133,3949.09,1
242,121,50,34,45,139,3947.99,1
243,121,50,35,45,140,3947.81,1
244,121,50,34,45,138,3948.17,1
245,121,50,33,45,133,3949.09,1
246,121,49,33,45,129,3949.82,1
247,121,47,32,45,125,3950.55,1
248,120,45,31,44,120,3951.46,1
249,120,44,29,44,119,3951.65,1
250,119,44,28,44,121,3951.28,1
251,119,44,29,44,122,3951.1,1
252,119,44,28,44,121,3951.28,1
253,118,43,27,44,118,3951.83,1
254,118,42,26,44,117,3952.01,1
255,118,41,24,44,115,3952.38,1
256,117,40,24,44,115,3952.38,1
257,117,40,23,43,114,3952.56,1
258,117,40,23,43,117,3952.01,1
259,116,40,23,43,118,3951.83,1
260,116,40,24,43,118,3951.83,1
261,116,39,23,43,115,3952.38,1
262,116,39,22,43,114,3952.56,1
263,116,39,21,43,115,3952.38,1
264,116,39,21,43,116,3952.19,1
265,116,39,22,43,117,3952.01,1
